Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,
Andorra,AND,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100667,,,
Afghanistan,AFG,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19199437989,
Angola,AGO,6152936539,9129634978,8936063723,12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,1.04116E+11,1.15398E+11,1.24912E+11,1.26775E+11,1.02643E+11,
Albania,ALB,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13277963807,11455595709,
Arab World,ARB,6.43135E+11,7.33948E+11,7.22151E+11,7.27994E+11,8.2187E+11,9.63918E+11,1.18473E+12,1.40419E+12,1.64167E+12,2.08134E+12,1.79888E+12,2.10382E+12,2.49794E+12,2.77327E+12,2.84699E+12,2.8736E+12,2.5301E+12,
United Arab Emirates,ARE,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.48526E+11,3.7343E+11,3.87192E+11,3.99451E+11,3.70293E+11,
Argentina,ARG,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.99496E+11,2.33582E+11,2.88833E+11,3.63137E+11,3.3449E+11,4.25916E+11,5.332E+11,5.48935E+11,5.54155E+11,5.29726E+11,5.83169E+11,
Armenia,ARM,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11644438423,10561401185,
American Samoa,ASM,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,651851851.9,783837851.9,773765185.2,802529333.3,839996370.4,898356148.1,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1220976000,1297285370,
Australia,AUS,3.88672E+11,4.14952E+11,3.78459E+11,3.94196E+11,4.66348E+11,6.12695E+11,6.93075E+11,7.46881E+11,8.53053E+11,1.05456E+12,9.26564E+11,1.14225E+12,1.38992E+12,1.53748E+12,1.56395E+12,1.45468E+12,1.33954E+12,
Austria,AUT,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.90235E+11,4.29011E+11,4.07373E+11,4.28699E+11,4.36888E+11,3.74056E+11,
Azerbaijan,AZE,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,53047140347,
Burundi,BDI,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3085184837,
Belgium,BEL,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71822E+11,5.18626E+11,4.84553E+11,4.83577E+11,5.26975E+11,4.97816E+11,5.21371E+11,5.31235E+11,4.54039E+11,
Benin,BEN,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8117100934,9110800745,9575356735,8476125181,
Burkina Faso,BFA,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12114166021,12549126616,11099473097,
Bangladesh,BGD,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,
